Date,ForwardReturn
2022-03-02,0.002031567337108401
2022-03-03,0.03266008128485326
2022-03-04,0.038723858194555406
2022-03-07,-0.02693979091305825
2022-03-08,-0.034912587792032435
2022-03-09,0.002760090380765786
2022-03-10,0.006235860779601291
2022-03-11,-0.012911503742823715
2022-03-14,-0.021637468966436063
2022-03-15,-0.014055922159734714
2022-03-16,0.015389004889420847
2022-03-17,8.105629996444774e-05
2022-03-18,0.0005951723486512331
2022-03-21,-0.017148079258109544
2022-03-22,0.01576950406138658
2022-03-23,0.00023321417291822556
2022-03-24,-0.0026378640940296883
2022-03-25,0.011963651397773827
2022-03-28,-0.008372125379478235
2022-03-29,-0.0005927580778160215
2022-03-30,0.010700251696725642
2022-03-31,0.00915021263432044
2022-04-01,0.023005785995391763
2022-04-04,-0.01600415409226754
2022-04-05,-0.008882499370156755
2022-04-06,0.0019256476718752333
2022-04-07,0.006556162667048242
2022-04-08,-0.0004870106016867555
2022-04-11,0.011550744858500743
2022-04-12,-0.0030186387977443555
2022-04-13,0.028749541188183517
2022-04-14,-0.02279391515733255
2022-04-18,-0.006566929020874522
2022-04-19,0.018636510286174635
2022-04-20,0.030229902097117366
2022-04-21,0.011172603872403104
2022-04-22,-0.01409693180422894
2022-04-25,0.02847341736048458
2022-04-26,0.00950889404129169
2022-04-27,-0.050076669112527394
2022-04-28,0.005095905909970964
2022-04-29,-0.0068322341795926745
2022-05-02,-0.010754388725733673
2022-05-03,0.016933562352387754
2022-05-04,0.008884286019164848
2022-05-05,-0.005376022096004263
2022-05-06,0.03841411387899489
2022-05-09,-0.011882592030897336
2022-05-10,0.010831546282778584
2022-05-11,0.012838036296403555
2022-05-12,-0.005405020387858218
2022-05-13,0.02058401759137048
2022-05-16,-0.010077836005439116
2022-05-17,0.025612751600178698
2022-05-18,-0.00029659280701024686
2022-05-19,0.0034770242462504927
2022-05-20,0.0018027375993305318
2022-05-23,0.028741129729311997
2022-05-24,-0.013501011833750971
2022-05-25,-0.025384640554632333
2022-05-26,-0.02154896169363383
2022-05-27,-0.007756667425483429
2022-05-31,0.01213779537578539
2022-06-01,-0.002745543156107734
2022-06-02,0.018844484462125076
2022-06-03,-0.005879782830734041
2022-06-06,0.0033032839799954335
2022-06-07,-0.0022576998520812924
2022-06-08,-0.003727438434379955
2022-06-09,-0.013606955704219346
2022-06-10,0.0017466180445348325
2022-06-13,0.012059483327842221
2022-06-14,0.020586822096277775
2022-06-15,-0.035836544117216776
2022-06-16,0.003540471262285979
2022-06-17,0.004962845481506904
2022-06-21,-0.0007057324724215096
2022-06-22,0.010076486997937228
2022-06-23,-0.0067567014468997225
2022-06-24,0.0024798633002884175
2022-06-27,-0.002874701038970466
2022-06-28,0.0010276627598665138
2022-06-29,0.013578058615254898
2022-06-30,-0.0032874852831109025
2022-07-01,-0.010518417597224305
2022-07-05,0.015500889111548958
2022-07-06,-0.027375447350123462
2022-07-07,0.0005471914044716883
2022-07-08,0.009601446146234075
2022-07-11,-0.0011891763070981127
2022-07-12,-0.0038467822244151535
2022-07-13,0.015151130589044751
2022-07-14,-0.0202471887753645
2022-07-15,-0.0023094737841261957
2022-07-18,0.011436848822696005
2022-07-19,0.01824863750304197
2022-07-20,0.01159225112182242
2022-07-21,-0.011409636254069407
2022-07-22,-0.018507701342765748
2022-07-25,-0.0018152456072473948
2022-07-26,-0.02051314754041857
2022-07-27,0.01791013684672155
2022-07-28,0.025828377419331323
2022-07-29,-0.010750020707221145
2022-08-01,0.0013579817918314748
2022-08-02,-0.002440604739385715
2022-08-03,0.0031982746595209275
2022-08-04,-0.017019514182058264
2022-08-05,-0.02209921187431827
2022-08-08,-0.009058794314341038
2022-08-09,-0.003979319440659598
2022-08-10,0.0057254559382088985
2022-08-11,0.00956539816010662
2022-08-12,-0.002899771056646694
2022-08-15,-0.001598489661431198
2022-08-16,-0.0020366932654150606
2022-08-17,-0.007670432197234719
2022-08-18,-0.021724825072200377
2022-08-19,-0.00305834864064718
2022-08-22,-0.013722402173167806
2022-08-23,0.00533043549172083
2022-08-24,-0.000161599685837047
2022-08-25,0.007277170278104286
2022-08-26,0.00694676077889613
2022-08-29,-0.00717956531142229
2022-08-30,-0.01068119006046823
2022-08-31,0.0026884736534196875
2022-09-01,0.002251611390854724
2022-09-02,-0.003576138859518803
2022-09-06,-0.012579758719250897
2022-09-07,0.01026509206545354
2022-09-08,-0.008893555153316933
2022-09-09,-0.005362943695853462
2022-09-12,0.003964983205147085
2022-09-13,0.007762767830501246
2022-09-14,0.04715813061900639
2022-09-15,-0.004831190531171066
2022-09-16,-1.114948490579977e-05
2022-09-19,0.0009007634901120141
2022-09-20,-0.008760523789522285
2022-09-21,-0.009195859270735698
2022-09-22,-0.0048411547005319695
2022-09-23,0.015888548966162114
2022-09-26,0.0012382291270423636
2022-09-27,-0.0045317433584179095
2022-09-28,-0.01795936484062528
2022-09-29,-0.0009628708860896316
2022-09-30,-0.02040198996727906
2022-10-03,0.006298950294085427
2022-10-04,0.007365518887880067
2022-10-05,0.01660564618357101
2022-10-06,-0.010669038585441881
2022-10-07,-0.008067138316140813
2022-10-10,0.0005464953013727333
2022-10-11,-0.004457830256346936
2022-10-12,0.0006164253175783008
2022-10-13,0.019142702360980667
2022-10-14,-0.010635162890507196
2022-10-17,0.0062270425865243
2022-10-18,-0.007400321321420445
2022-10-19,0.02421100747987112
2022-10-20,0.0031627689405653095
2022-10-21,-0.00023724704793640257
2022-10-24,-0.03520595067181591
2022-10-25,0.029324650621505445
2022-10-26,0.06807191791649474
